,Set,Name,Amount,Foil?,Notes
,Visions,Longbow Archer,1,,In binder
,Visions,Fallen Askari,1,,In binder
,Ice Age,Pit Trap,1,,In binder
,Visions,Infantry Veteran,1,,In binder
,Visions,hope Charm,1,,In binder
,Ice Age,hymn of Rebirth,1,,In binder
,Ice Age,hipparion,1,,In binder
,Visions,Shrieking Drake,1,,In binder
,Ice Age,Illusionary Presence,1,,In binder
,Ice Age,Barbed Sextant,1,,In binder
,Ice Age,Woolly Spider,1,,In binder
,Ice Age,cooperation,1,,In binder
,Ice Age,Foxfire,1,,In binder
,Ice Age,Tor Giant,1,,In binder
,Ice Age,Brown Ouphe,1,,In binder
,Ice Age,Circle of Protection: Black,1,,In binder
,Ice Age,Foul Familiar,1,,In binder
,Ice Age,Circle of Protection: Green,1,,In binder
